Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Prediccion,Predicted_Probability
0,0,33,0,2,3737,4,6,3,5,4,0,3,0,3,2,6,2,2,3,225,1202,0,0.011972971
1,0,63,0,1,8821,5,6,5,0,3,6,6,0,0,4,4,4,3,6,1526,1928,1,0.9854167
0,0,100,0,1,1812,4,6,1,1,0,0,2,6,0,2,1,5,3,2,146,69,0,0.098566405
1,1,29,0,2,4275,5,0,5,5,3,2,1,6,3,4,4,3,5,4,23,467,1,0.9734125
0,1,28,1,1,543,0,0,2,2,2,6,0,1,5,1,4,3,1,4,1158,1499,1,0.9707978
0,0,20,1,1,6022,5,6,6,0,4,6,0,1,3,0,3,6,1,1,296,623,1,0.9794256
1,1,16,0,0,4351,4,1,0,4,2,3,0,4,4,0,1,4,1,2,1154,1555,0,0.021738602
1,0,77,1,2,2642,1,3,6,3,3,3,0,0,4,3,1,6,6,5,1887,919,1,0.735697
1,1,18,1,1,2092,4,2,6,3,1,1,1,1,3,3,0,1,0,1,951,1381,0,0.004871253
1,0,61,1,0,4431,6,3,6,6,2,2,6,6,5,4,6,5,0,2,25,601,1,0.99307793
1,0,96,0,0,9389,6,6,0,3,3,0,5,6,4,3,5,0,2,6,407,1751,1,0.8551521
1,1,27,1,2,1025,4,4,2,4,2,5,5,3,0,1,2,5,6,0,1574,737,0,0.20554909
0,0,3,0,1,6064,2,1,1,0,6,6,6,5,3,1,3,0,3,0,1054,847,0,0.00057258207
1,0,32,1,2,1892,1,3,2,4,1,5,3,1,2,5,0,4,5,4,636,266,1,0.976922
0,0,100,1,1,2451,5,3,1,3,4,3,0,3,4,0,1,1,4,4,174,271,1,0.8935934
0,0,57,1,1,4695,1,6,3,2,0,3,2,0,5,1,4,6,2,6,1199,1573,0,0.2679525
1,1,87,1,2,4760,2,1,5,5,3,4,3,0,1,6,3,5,2,1,870,929,0,0.04435354
1,1,93,0,2,2948,4,0,6,3,1,5,3,2,5,1,3,4,4,6,1889,1766,0,0.045805816
0,0,1,1,2,9797,1,0,5,1,4,5,1,3,4,3,1,5,5,3,1366,1744,1,0.8488972
1,0,6,1,1,1133,1,3,6,2,2,1,6,2,4,5,4,5,6,0,1015,1280,0,0.33675253
0,1,98,0,1,559,5,0,2,4,2,5,0,5,0,2,0,4,2,4,983,1633,1,0.99218786
1,0,47,1,0,7202,4,1,0,1,1,1,3,0,5,0,4,6,2,0,737,418,0,0.15782134
1,1,31,0,0,1894,2,0,2,4,6,5,6,6,5,2,0,2,1,6,1768,253,0,0.00010377323
1,0,78,0,1,8721,6,6,4,1,0,2,1,0,6,4,4,4,4,2,448,737,1,0.94537467
0,1,52,1,0,7216,6,1,1,4,2,0,1,0,1,1,6,6,1,3,1275,1615,1,0.9558459
1,1,40,1,2,1044,1,4,1,1,0,3,6,2,0,6,6,0,3,4,1271,843,0,0.010091559
0,1,58,1,1,1319,5,3,4,3,2,6,4,2,1,5,4,2,2,5,911,1691,1,0.99469596
0,1,19,0,0,2212,4,5,3,2,6,3,2,4,6,0,4,6,0,5,1855,1964,0,0.3425988
0,0,15,1,1,6304,0,6,3,4,1,6,4,3,6,1,1,0,0,4,314,881,1,0.9971578
0,1,30,0,2,6256,4,1,4,6,6,1,3,5,2,6,6,3,0,0,675,365,0,0.19369237
1,0,14,0,1,7140,1,5,4,0,0,4,3,5,3,0,2,2,1,6,1027,281,0,0.01205307
0,0,28,0,0,1652,5,0,4,6,5,0,6,6,2,2,5,5,5,2,1767,1442,1,0.9281756
0,1,23,0,2,2795,0,4,2,6,3,0,3,6,4,1,2,1,2,2,1835,685,1,0.99846554
1,0,54,1,0,905,6,3,5,0,0,2,4,4,4,0,4,0,5,6,687,1920,1,0.99593973
1,0,81,0,2,9945,1,4,0,0,4,3,1,4,2,2,5,0,4,1,1427,1829,0,5.1994295e-05
0,1,10,1,2,6487,5,4,3,4,2,3,4,6,4,0,1,1,6,4,129,714,1,0.95233506
1,0,1,1,1,7578,1,3,5,6,4,1,0,3,6,3,5,2,6,3,1159,1050,1,0.57900685
1,0,90,1,2,5420,6,4,2,2,3,6,3,0,2,2,1,4,1,1,489,507,1,0.90335727
0,0,89,1,2,2545,6,5,0,4,5,3,4,3,0,1,3,5,2,1,114,746,1,0.9567381
1,0,36,0,0,3759,0,5,3,4,5,4,5,4,0,1,6,0,6,6,1429,406,1,0.99903274
1,0,99,1,2,4046,2,5,2,5,5,5,6,0,5,1,5,0,6,6,1826,1111,1,0.89148325
1,1,68,1,2,8316,2,3,6,3,5,0,2,3,5,6,3,2,1,0,375,1886,0,0.0008791923
1,0,23,1,2,433,0,2,4,0,5,6,6,3,0,1,5,3,6,5,1736,798,1,0.9999939
0,0,87,1,1,8223,4,2,3,6,0,2,3,3,5,4,1,0,3,1,1461,1516,0,0.010450628
0,1,49,1,0,5505,6,6,1,5,4,4,3,4,5,1,1,2,5,4,196,102,1,0.9959925
1,0,86,1,1,6042,4,3,2,3,6,6,2,4,6,0,2,2,1,1,1116,907,1,0.5084456
0,1,26,1,1,6868,1,2,0,4,3,6,4,4,2,2,5,2,1,6,1575,1436,0,0.0018062769
0,0,99,1,1,7732,2,3,6,4,2,1,6,2,0,0,2,2,5,6,806,1805,1,0.9984779
0,1,91,1,2,5028,4,5,0,5,0,3,3,4,2,5,5,1,0,6,728,1954,1,0.51212084
0,1,88,1,2,6368,6,2,4,5,3,5,2,6,6,4,3,1,3,4,1739,1548,1,0.973825
0,1,9,1,1,7313,1,4,1,3,5,0,2,6,2,2,2,2,1,0,593,1391,0,0.0002475119
1,1,38,1,0,6451,6,2,5,6,4,3,3,6,0,5,0,0,1,0,1940,400,1,0.99040306
1,0,68,1,0,344,4,0,0,0,3,2,4,6,2,5,2,3,3,0,1008,905,0,0.16204615
1,0,100,0,2,2448,3,1,3,1,0,0,0,4,1,0,2,2,2,3,1436,1688,0,0.0005752197
0,1,49,0,1,664,5,1,5,0,0,3,2,4,0,4,0,3,3,2,576,1794,1,0.9953811
1,1,87,1,0,5725,3,4,1,0,5,6,1,2,2,0,1,6,0,1,458,1240,0,0.10265648
0,0,33,0,2,3069,2,5,1,1,0,4,5,6,6,1,3,4,5,1,252,803,0,0.00064958085
0,1,6,0,2,4047,1,2,1,5,4,5,1,0,0,3,0,6,4,4,1550,1862,0,0.0010668087
1,0,85,1,2,80,3,1,1,2,6,0,3,0,4,2,6,2,0,1,1773,180,0,0.28697804
1,1,72,0,1,8996,5,4,5,5,0,2,1,3,6,2,0,2,5,3,1288,1159,1,0.9952356
0,1,57,0,1,1849,2,2,0,1,2,2,5,2,2,3,5,4,3,4,106,947,0,4.754906e-05
1,0,16,0,1,5929,6,0,1,2,2,3,2,1,4,6,3,1,5,3,102,1270,1,0.6569073
1,1,88,1,2,6702,4,5,6,5,1,6,5,3,0,4,0,4,3,1,519,725,0,0.028042749
0,1,33,0,1,3159,5,3,3,0,5,1,5,4,0,3,5,1,2,6,1120,1915,0,0.15483011
1,0,78,1,0,3638,3,4,6,4,4,0,6,6,4,3,0,6,3,1,99,281,1,0.9876836
0,1,36,1,0,7790,4,1,0,3,4,4,6,4,6,3,0,1,1,6,1688,1468,0,0.003075864
0,1,100,0,1,8068,2,6,1,0,1,3,1,2,1,5,4,5,1,6,560,795,0,0.0050631296
0,0,95,1,1,6773,4,1,6,5,6,2,6,3,1,1,6,2,2,0,1040,1121,1,0.9846117
0,0,95,0,2,5669,5,3,6,6,1,3,2,0,4,3,6,4,0,5,299,1107,1,0.79965067
0,0,26,1,2,8129,4,5,6,0,4,2,0,5,5,3,3,0,0,3,427,439,0,0.2439404
1,1,52,0,0,4616,5,1,3,1,1,2,3,1,2,1,1,5,2,3,711,1266,1,0.98438936
0,1,58,1,2,3746,2,5,5,1,2,3,4,2,6,0,5,0,3,0,263,1549,0,0.009554227
0,1,12,0,1,6244,5,1,2,0,6,3,3,1,1,3,3,6,0,2,246,643,1,0.96513224
1,1,49,0,1,4524,2,3,6,3,3,2,5,5,3,5,0,0,4,5,876,1691,0,0.049106114
0,0,21,0,2,7929,6,4,0,3,1,0,6,2,4,6,2,2,5,4,1997,214,1,0.9895565
1,0,54,0,1,3127,6,6,4,6,3,0,5,5,0,3,0,4,3,0,127,1098,1,0.99497616
1,0,4,0,2,3723,1,5,1,3,4,2,0,3,4,1,5,2,3,6,1404,1607,0,0.0082043875
0,1,76,0,1,2683,6,5,2,6,5,2,2,3,5,0,1,1,3,4,1155,303,1,0.96654665
0,1,80,1,1,4347,2,3,5,4,6,3,0,0,4,1,6,6,2,0,1873,701,0,0.0144764315
1,0,3,1,2,5441,0,4,1,2,6,4,6,6,5,4,5,2,4,4,1714,536,1,0.99972683
0,0,19,1,0,8307,2,6,0,0,5,5,6,3,3,6,5,1,5,5,1382,184,1,0.99709237
0,0,16,1,0,8516,2,0,3,6,3,1,1,3,4,3,4,6,0,4,1896,840,0,0.016631722
1,0,41,0,2,3053,4,5,2,6,0,0,4,5,3,2,5,5,4,5,534,1162,0,0.25062844
0,1,73,0,1,2461,5,0,1,6,1,2,3,0,5,3,3,5,0,6,841,1910,1,0.9606942
1,1,92,1,2,5570,3,3,3,0,0,4,1,4,4,4,3,4,0,6,433,1130,0,0.0027931782
0,0,9,1,1,1398,1,4,1,2,6,5,6,3,1,3,0,5,0,5,1074,1857,1,0.97751015
0,0,74,0,0,586,1,1,2,6,6,0,3,4,6,3,0,6,5,6,1880,316,0,0.00016696325
0,0,2,0,2,2430,0,6,5,1,2,1,6,1,6,0,6,4,6,1,1660,667,1,0.9959189
0,1,84,0,0,7499,1,4,3,0,4,4,0,3,0,6,1,6,0,5,1299,1345,0,0.002938744
1,0,45,1,0,7611,6,1,3,4,5,6,4,1,6,4,5,5,0,0,378,782,1,0.962429
1,1,100,1,2,9260,1,5,4,4,5,1,0,3,2,0,0,1,1,4,71,722,0,8.723539e-05
0,1,41,0,1,7984,4,3,5,5,0,1,1,6,4,4,2,5,5,3,152,202,0,0.09518065
1,0,29,1,1,9781,0,0,2,4,0,2,6,5,2,3,2,0,6,0,1820,52,1,0.9982749
1,1,81,1,2,6069,5,1,0,4,5,2,5,4,4,1,0,5,5,0,261,216,1,0.9095664
1,0,66,0,0,8176,1,2,5,6,3,0,4,3,5,2,4,2,3,6,218,1478,0,0.00011873225
0,1,24,1,0,9756,4,4,1,6,5,0,5,2,4,6,1,5,2,1,610,183,1,0.8455331
0,0,4,0,1,3960,0,3,1,0,5,5,0,2,0,6,0,1,5,5,764,863,1,0.9991196
0,0,57,0,2,6766,5,2,6,5,1,0,3,0,6,5,0,1,6,6,961,1713,1,0.8563222
1,1,61,1,1,9839,0,5,3,0,5,0,2,0,6,4,3,3,3,6,916,1161,1,0.99988663
1,1,11,1,1,5617,4,0,1,1,2,6,2,0,1,5,6,0,0,3,1775,1929,0,0.11749102
1,0,95,1,2,4388,3,5,5,6,0,0,5,1,0,0,6,5,2,3,1094,688,1,0.9999654
0,0,71,1,2,9461,2,3,4,0,5,5,1,1,3,5,4,3,2,3,168,612,1,0.9398165
0,1,76,0,0,8265,1,3,6,3,4,0,3,0,4,2,2,1,5,1,1621,1747,0,1.0213444e-05
0,1,76,0,0,8883,0,3,0,1,1,6,3,0,0,4,4,5,0,5,1550,1669,1,0.99732506
0,1,26,1,2,1006,4,0,2,3,3,5,2,4,3,1,0,2,5,4,824,1887,0,0.21058555
0,0,92,0,0,2990,4,6,1,4,2,5,0,5,1,0,0,2,0,3,470,1704,0,0.28126478
1,0,5,1,1,3028,0,0,3,4,2,0,0,1,3,1,3,5,3,6,1754,28,1,0.9855833
1,0,22,0,1,4349,5,3,3,5,5,5,0,1,5,0,6,3,1,3,304,603,1,0.9889318
0,0,61,1,0,1559,0,5,5,5,4,5,4,2,5,5,0,5,5,6,818,1882,1,0.9998079
0,1,75,0,1,6965,5,3,2,6,6,0,1,6,6,3,3,0,4,5,1547,367,1,0.9032886
0,1,77,0,0,8160,1,2,0,5,5,1,3,3,3,0,4,0,1,2,1002,1998,0,4.19751e-06
1,0,80,1,0,9012,4,1,0,4,4,6,5,4,0,1,2,5,0,6,740,830,1,0.89306986
1,0,10,0,1,7466,1,4,6,1,2,4,1,5,3,4,3,1,4,4,306,876,0,0.0013382661
1,0,74,1,1,785,3,4,3,5,4,2,1,4,0,6,3,3,0,1,1342,1244,0,0.1520932
0,1,33,1,1,7941,1,6,4,6,0,5,1,6,0,1,2,0,2,4,1360,1240,0,0.00038282239
1,0,78,1,1,4774,3,1,0,3,0,6,6,3,4,1,2,3,1,3,1482,1175,0,0.4670556
1,1,78,0,0,7384,0,1,5,3,1,6,5,5,0,0,3,2,0,3,483,1619,1,0.85355645
0,1,76,0,0,8864,4,4,3,6,5,6,5,3,0,1,3,1,1,5,1246,1184,0,0.016243404
0,0,20,1,1,5494,2,6,6,3,6,4,4,6,3,4,2,3,1,0,852,789,1,0.7101497
1,1,50,1,2,700,3,4,4,6,3,3,1,2,1,6,6,0,2,6,1055,69,1,0.7285081
0,1,29,1,2,1938,1,4,6,1,2,2,2,6,1,0,1,2,2,1,399,509,0,0.0011599853
1,1,42,0,1,1862,1,2,1,6,3,2,0,1,3,1,2,4,4,2,714,369,0,0.00015832417
0,0,83,1,1,3058,1,0,5,6,4,6,5,5,0,4,1,6,4,0,517,695,1,0.6975104
0,1,30,0,0,3808,2,6,2,0,1,4,4,1,4,6,5,0,6,6,165,223,0,0.00017713943
0,0,8,1,1,131,6,0,6,0,0,4,3,6,1,4,1,5,6,1,873,593,1,0.7828918
0,1,46,1,2,692,4,5,6,1,2,6,5,1,0,1,6,3,0,6,451,835,1,0.59876126
1,0,98,0,2,2564,2,1,0,6,1,5,6,4,6,0,4,5,5,1,1579,793,0,1.3072452e-05
1,1,76,1,0,7134,1,1,2,4,6,5,5,2,0,4,6,2,4,3,829,1721,0,0.0057052225
1,0,19,1,1,712,6,0,2,5,2,2,0,4,3,5,2,1,0,5,1528,144,1,0.5794239
1,1,40,1,0,6299,3,6,0,6,5,6,5,6,1,0,3,0,0,5,1665,1649,0,0.0032006176
0,1,1,1,2,6190,2,6,1,1,1,3,3,6,3,1,1,1,2,3,1418,1563,0,0.015955191
0,1,93,1,1,6571,4,0,4,1,0,1,1,2,6,0,4,6,1,6,395,1035,0,0.10508779
0,0,93,0,0,1429,0,0,6,4,4,1,6,2,0,5,4,2,4,5,1289,456,1,0.9979589
1,0,58,0,1,3969,4,1,2,5,2,6,0,5,2,0,0,5,2,2,419,214,0,0.12715353
0,1,64,0,1,872,1,4,3,0,3,0,3,2,3,1,5,5,4,5,1118,1217,0,0.0005151282
1,0,27,0,2,4011,6,0,0,3,4,5,0,0,5,1,1,3,2,0,1075,1214,1,0.8983605
0,0,36,0,0,6243,3,0,3,0,5,1,4,1,5,1,4,4,6,0,243,772,0,0.00058756035
0,1,10,0,2,6351,4,4,1,6,1,6,6,6,5,6,3,6,3,0,1410,1630,0,0.2194201
0,0,76,1,1,8524,0,2,6,4,2,4,5,6,2,0,0,4,3,0,105,902,1,0.94990635
1,0,81,0,2,5219,0,6,2,5,6,4,6,5,0,3,5,6,5,3,1679,744,1,0.996108
0,1,67,1,2,6775,3,3,3,5,6,3,4,4,1,0,5,1,3,5,1590,1060,0,0.10669424
1,0,29,1,1,1628,6,5,6,2,2,5,3,6,1,6,5,3,2,2,1268,235,1,0.9996916
0,1,9,0,2,6240,6,5,6,5,5,5,2,1,3,3,6,0,6,1,458,526,1,0.9996488
0,0,57,0,0,5199,5,3,3,2,4,6,6,5,0,2,6,2,1,2,1441,716,1,0.9990827
0,1,55,0,2,9611,5,0,1,0,1,6,6,0,6,6,6,4,5,3,451,1096,1,0.9597832
1,1,56,0,2,4523,6,2,0,5,3,5,3,0,5,2,3,1,5,3,1751,1072,1,0.97891265
0,0,4,0,1,8367,5,3,0,2,6,1,6,6,4,3,6,0,4,2,86,594,1,0.808911
0,0,81,1,0,7567,4,4,5,4,5,2,6,0,2,1,0,6,5,5,367,97,1,0.9999256
1,1,23,1,0,4313,0,1,5,3,1,4,2,4,3,2,4,1,1,5,1447,1991,1,0.8912307
0,0,99,1,0,9254,0,6,6,2,0,3,1,3,2,3,0,1,1,4,1595,1023,1,0.9933349
1,0,63,0,2,4947,1,4,6,1,1,1,4,5,6,1,1,4,2,2,1782,133,0,0.0007188562
0,1,41,1,2,9151,4,3,4,0,4,4,6,2,4,4,2,0,0,6,1820,763,0,0.3805792
0,1,55,0,1,4785,3,2,4,5,4,3,0,0,2,6,3,6,1,5,1790,373,0,0.008954151
1,1,4,1,0,9308,6,1,0,5,4,1,4,3,4,1,3,5,5,2,1204,1840,1,0.6750106
1,0,92,0,1,7771,6,3,4,4,2,5,1,6,3,3,4,5,3,2,503,1933,1,0.99265
1,0,6,1,2,2482,2,0,6,0,2,5,6,1,6,5,2,2,0,3,222,889,0,0.46177977
1,0,31,1,0,1617,6,1,2,0,3,6,3,2,0,6,0,6,1,2,902,1498,1,0.9870313
1,0,80,1,1,8346,4,5,2,1,2,6,6,1,1,0,5,5,0,6,853,305,1,0.9962857
0,1,81,1,1,405,6,0,2,3,0,0,6,6,6,6,3,3,4,3,1,86,1,0.99191535
1,0,75,1,1,9837,1,5,5,5,0,1,6,4,4,0,4,1,6,3,303,1127,0,0.035803463
1,0,90,0,2,8513,1,1,1,4,1,2,6,1,5,4,5,3,5,4,873,29,0,0.00012971219
0,0,48,0,0,7741,6,1,1,1,6,2,0,2,4,4,2,4,5,1,277,1679,1,0.8552367
1,0,17,0,2,5640,1,2,0,1,1,6,2,3,0,4,6,5,4,6,1246,1706,0,0.00016520338
0,1,74,1,0,1097,5,1,5,5,6,1,5,4,0,3,2,6,5,1,365,323,1,0.99499977
0,1,94,1,2,2606,6,1,3,6,3,3,5,2,6,2,6,0,6,0,1934,97,1,0.7837663
1,0,20,0,1,2498,3,3,5,1,6,2,5,5,1,0,3,5,0,6,545,507,0,0.014932631
1,0,8,1,0,6140,6,3,3,4,1,4,2,1,5,1,5,0,4,0,1899,179,0,0.20198281
0,0,46,0,1,9416,3,3,2,3,5,2,5,4,4,1,0,2,5,4,794,937,0,0.017575344
1,0,0,0,0,1647,3,1,3,1,6,5,2,1,0,3,6,0,2,1,1496,703,0,0.0018781859
0,0,64,1,2,3988,6,6,6,0,1,1,0,0,6,2,2,4,4,2,377,627,1,0.9681482
1,1,56,1,1,3580,6,4,3,4,6,6,2,4,2,4,6,5,0,4,1882,1702,1,0.9997304
1,0,77,1,2,2268,2,2,3,6,5,4,0,2,0,4,4,4,3,2,464,931,0,0.08095076
0,0,71,1,0,1291,1,5,5,0,0,0,3,4,4,0,3,2,3,3,91,1029,0,0.009298128
0,1,36,1,1,678,4,2,6,2,3,6,1,0,5,6,1,3,1,6,305,112,0,0.26084402
1,0,94,1,1,7596,3,2,5,4,0,3,3,5,0,5,5,6,0,1,1779,720,1,0.99903417
0,0,13,1,1,5082,4,2,3,2,3,4,4,0,3,5,1,1,3,2,1239,1778,0,0.10043253
0,1,31,0,1,613,1,4,0,0,0,1,1,1,4,1,5,4,0,6,394,489,0,9.2119684e-05
1,0,7,0,1,4127,1,0,6,0,5,0,6,3,4,2,4,4,6,6,667,1273,0,0.18175994
1,0,7,1,0,2145,5,4,6,4,6,5,4,0,5,4,4,3,2,5,1687,1741,1,0.97690445
0,1,34,0,1,8295,5,6,3,2,2,5,0,2,0,4,1,2,2,6,1498,1906,1,0.9501968
1,1,50,0,1,7381,4,4,4,0,3,0,1,4,5,5,4,5,4,1,307,9,1,0.6124204
1,0,35,0,2,3841,5,1,6,1,6,6,5,3,3,0,0,6,2,2,51,416,1,0.98670447
1,1,52,1,2,3000,6,3,5,0,4,2,4,5,0,0,1,6,4,3,1578,811,1,0.9919403
1,0,50,1,1,8387,2,3,1,5,4,6,0,5,3,2,6,3,4,1,77,809,1,0.9997801
0,1,10,1,0,2927,1,1,4,5,0,5,6,4,6,2,2,4,3,2,1752,946,0,0.00029636145
0,0,86,0,2,5665,0,0,1,3,3,2,5,2,6,6,0,1,6,4,1527,698,1,0.9992003
1,1,55,1,1,5715,5,5,5,2,4,5,6,1,2,3,5,4,4,5,284,603,1,0.99977964
0,0,94,1,1,3156,0,3,1,3,6,3,6,5,4,5,6,1,4,2,1105,1981,1,0.99997234
1,0,84,0,1,2093,4,2,4,0,5,3,4,2,6,4,1,4,5,2,1292,150,0,0.023573251
0,1,90,0,2,3117,2,0,6,6,2,2,5,3,4,5,4,4,3,5,1236,581,0,0.0013546036
0,0,23,1,1,8747,3,5,6,5,0,1,6,1,2,0,5,1,2,6,1921,1489,1,0.97485256
0,0,36,1,0,679,1,3,3,5,0,3,1,6,3,0,5,0,5,5,1853,420,1,0.5813716
0,0,81,0,1,4997,5,0,1,4,3,4,5,4,2,2,6,2,4,6,1678,1510,1,0.81571686
1,1,27,1,0,817,4,1,2,2,3,2,6,4,0,0,3,1,2,5,73,371,0,0.018161237
0,1,57,0,1,2424,6,1,0,0,6,2,5,3,2,6,2,5,3,3,425,1934,1,0.99038154
1,0,76,0,0,2224,0,0,3,6,4,0,0,1,5,1,5,6,5,2,110,1166,1,0.9898482
1,0,83,0,0,791,4,6,6,2,6,4,2,6,6,5,5,2,0,6,737,1084,0,0.14692947
1,1,61,1,0,4881,3,3,4,1,0,0,5,2,3,3,5,0,3,5,47,1817,0,0.14467412
0,0,29,0,0,5228,5,2,1,1,4,5,3,4,4,0,1,3,2,4,968,1559,1,0.85479367
0,1,29,0,2,2183,4,2,5,1,5,6,6,5,6,5,2,6,4,4,980,1913,0,0.42018336
0,1,10,1,2,7747,3,6,4,5,0,5,3,3,0,4,0,6,2,2,194,218,0,0.15168463
1,0,82,1,1,8771,2,3,4,4,4,3,6,4,3,2,6,6,4,1,1822,1079,1,0.9968491
1,0,52,1,1,7036,1,6,4,2,1,3,1,2,6,4,5,1,4,4,1759,361,0,0.4539743
0,1,42,1,0,6442,0,1,1,5,3,6,6,4,2,1,1,6,3,5,378,1137,1,0.8338248
1,1,5,0,2,4069,2,6,4,2,2,0,3,3,3,5,4,0,6,4,459,581,0,0.019559862
1,0,79,0,1,7808,6,6,6,2,6,1,6,2,5,2,1,3,6,1,546,656,1,0.99253947
0,0,51,0,2,6137,4,2,1,2,0,3,6,5,2,2,3,4,1,0,1018,80,0,0.058677793
0,1,8,0,0,4328,5,4,1,5,6,5,5,0,4,3,0,3,2,6,1487,1320,1,0.9984793
0,0,40,0,1,7908,6,4,2,0,0,5,0,3,4,3,5,5,5,0,1246,27,1,0.99904495
1,0,51,0,2,2415,6,5,2,6,3,5,5,2,4,4,0,1,4,5,708,1976,1,0.9879923
1,0,19,1,1,2759,6,0,3,4,3,6,2,2,3,2,1,0,5,6,945,155,1,0.99377406
1,0,67,1,1,9980,0,4,4,5,3,3,1,6,6,3,1,6,3,6,159,1441,1,0.9998456
1,0,68,0,2,6188,2,2,3,0,0,1,5,6,2,3,1,4,4,1,11,759,0,0.011793593
0,0,43,1,1,8851,6,4,1,3,3,4,0,6,1,6,1,6,5,5,969,1326,1,0.9998192
1,1,50,0,2,3027,0,0,1,1,3,3,5,3,2,1,2,3,4,3,1767,1167,1,0.99994075
1,0,56,0,0,704,1,4,1,1,3,2,0,6,2,1,5,4,3,0,1385,1945,0,0.013160334
